[split=dev, n=500]

antisymmetry error |E(pos,P0) + E(pos,P1)| over 500 fully known positions

  quantity                   mean   median      p95      max  exact zero
  material_raw              0.000    0.000    0.000    0.000      100.0%
  material_persistent       0.000    0.000    0.000    0.000      100.0%
  own_hand_size            12.526   12.500   17.000   21.000        0.0%
  trump_count               1.616    1.500    4.000    5.000       22.8%
  trump_quality             0.793    0.750    2.125    3.375       26.2%
  trump_control             0.254    0.224    0.650    1.077       22.8%
  distinct_ranks            9.024    9.000   12.000   14.000        0.0%
  throw_in_options          1.108    1.000    3.000    5.000       38.0%
  attack_room               9.468   10.000   12.000   12.000        1.0%
  defense_flexibility       1.512    0.000    6.000    8.000       52.0%
  defense_breadth           5.268    5.000   13.000   19.000       25.2%
  open_obligation           1.284    2.000    2.000    8.000       41.2%
  obligation_pressure       0.261    0.286    0.800    2.222       41.2%
  seat                      0.000    0.000    0.000    0.000      100.0%
  talon_size               16.592   12.000   46.000   48.000       28.6%
  refill_deficit            0.574    0.000    2.000    5.000       59.2%
  talon_exhaustion          1.309    1.500    2.000    2.000        3.8%
  terminal_proximity        0.000    0.000    0.000    0.000      100.0%
  control_constant          0.000    0.000    0.000    0.000      100.0%
  turn_gated_moves          3.130    2.000    7.000   14.000        0.0%
  EVAL_baseline             0.403    0.300    1.200    1.500       18.0%
  EVAL_mechanistic          0.403    0.300    1.200    1.500       18.0%
