deterministic world search: 220 positions, depths (1, 3, 5), TOL=1e-09

  depth variant          changed  ranking    tie   rank%  |dV| mean
      1 E1_card_only          46       46      0   20.9%      0.300
      1 E2_no_card            57       57      0   25.9%      1.040
      1 E3_talon_aware         3        3      0    1.4%      0.933
      1 V3_strong_trump       47       47      0   21.4%      0.843
      1 V4_strong_obligation        0        0      0    0.0%      0.000
      3 E1_card_only          29       29      0   13.2%      0.310
      3 E2_no_card            65       65      0   29.5%      1.365
      3 E3_talon_aware         4        4      0    1.8%      0.200
      3 V3_strong_trump       36       36      0   16.4%      1.208
      3 V4_strong_obligation        0        0      0    0.0%      0.000
      5 E1_card_only          27       27      0   12.3%      0.363
      5 E2_no_card            79       79      0   35.9%      3.122
      5 E3_talon_aware         8        8      0    3.6%      0.250
      5 V3_strong_trump       34       34      0   15.5%      1.747
      5 V4_strong_obligation        0        0      0    0.0%      0.000

  records saved: 3300
